Step,Timestamp,Time (s),RAM Usage (GB),GPU Memory Usage (GB)
187,2024-12-04 18:14:19,66.76,15.24,3.68
188,2024-12-04 18:14:19,67.09,15.24,3.68
189,2024-12-04 18:14:19,67.44,15.24,3.68
190,2024-12-04 18:14:20,67.80,15.24,3.68
191,2024-12-04 18:14:20,68.16,15.24,3.68
192,2024-12-04 18:14:20,68.52,15.24,3.68
193,2024-12-04 18:14:21,68.87,15.24,3.68
194,2024-12-04 18:14:21,69.23,15.24,3.68
195,2024-12-04 18:14:21,69.60,15.24,3.68
196,2024-12-04 18:14:22,69.96,15.24,3.68
197,2024-12-04 18:14:22,70.30,15.24,3.68
198,2024-12-04 18:14:22,70.65,15.24,3.68
199,2024-12-04 18:14:23,70.99,15.24,3.68
200,2024-12-04 18:14:23,71.32,15.24,3.68
201,2024-12-04 18:14:23,71.67,15.24,3.68
202,2024-12-04 18:14:24,72.00,15.24,3.68
203,2024-12-04 18:14:24,72.36,15.24,3.68
204,2024-12-04 18:14:24,72.70,15.24,3.68
205,2024-12-04 18:14:25,73.07,15.24,3.68
206,2024-12-04 18:14:25,73.42,15.24,3.68
207,2024-12-04 18:14:26,73.78,15.24,3.68
208,2024-12-04 18:14:26,74.13,15.24,3.68
209,2024-12-04 18:14:26,74.47,15.24,3.68
210,2024-12-04 18:14:27,74.82,15.24,3.68
211,2024-12-04 18:14:27,75.17,15.24,3.68
212,2024-12-04 18:14:27,75.53,15.24,3.68
213,2024-12-04 18:14:28,75.89,15.24,3.68
214,2024-12-04 18:14:28,76.23,15.24,3.68
215,2024-12-04 18:14:28,76.59,15.24,3.68
216,2024-12-04 18:14:29,76.94,15.24,3.68
217,2024-12-04 18:14:29,77.29,15.24,3.68
218,2024-12-04 18:14:29,77.63,15.24,3.68
219,2024-12-04 18:14:30,77.99,15.24,3.68
220,2024-12-04 18:14:30,78.35,15.24,3.68
221,2024-12-04 18:14:30,78.70,15.24,3.68
222,2024-12-04 18:14:31,79.04,15.24,3.68
223,2024-12-04 18:14:31,79.38,15.24,3.68
224,2024-12-04 18:14:31,79.72,15.24,3.68
225,2024-12-04 18:14:32,80.08,15.24,3.68
226,2024-12-04 18:14:32,80.43,15.24,3.68
227,2024-12-04 18:14:33,80.77,15.24,3.68
228,2024-12-04 18:14:33,81.10,15.24,3.68
229,2024-12-04 18:14:33,81.42,15.24,3.68
230,2024-12-04 18:14:34,81.78,15.24,3.68
231,2024-12-04 18:14:34,82.14,15.24,3.68
232,2024-12-04 18:14:34,82.48,15.24,3.68
233,2024-12-04 18:14:35,82.84,15.24,3.68
234,2024-12-04 18:14:35,83.20,15.24,3.68
