Step,Timestamp,Time (s),RAM Usage (GB),GPU Memory Usage (GB)
229,2024-12-04 17:09:28,50.10,15.24,1.84
230,2024-12-04 17:09:28,50.32,15.24,1.84
231,2024-12-04 17:09:29,50.53,15.24,1.84
232,2024-12-04 17:09:29,50.75,15.24,1.84
233,2024-12-04 17:09:29,50.97,15.24,1.84
234,2024-12-04 17:09:29,51.19,15.24,1.84
235,2024-12-04 17:09:30,51.41,15.24,1.84
236,2024-12-04 17:09:30,51.62,15.24,1.84
237,2024-12-04 17:09:30,51.84,15.24,1.84
238,2024-12-04 17:09:30,52.05,15.24,1.84
239,2024-12-04 17:09:30,52.28,15.24,1.84
240,2024-12-04 17:09:31,52.49,15.24,1.84
241,2024-12-04 17:09:31,52.69,15.24,1.84
242,2024-12-04 17:09:31,52.89,15.24,1.84
243,2024-12-04 17:09:31,53.11,15.24,1.84
244,2024-12-04 17:09:31,53.33,15.24,1.84
245,2024-12-04 17:09:32,53.55,15.24,1.84
246,2024-12-04 17:09:32,53.77,15.24,1.84
247,2024-12-04 17:09:32,53.99,15.24,1.84
248,2024-12-04 17:09:32,54.20,15.24,1.84
249,2024-12-04 17:09:33,54.42,15.24,1.84
250,2024-12-04 17:09:33,54.61,15.24,1.84
251,2024-12-04 17:09:33,54.82,15.24,1.84
252,2024-12-04 17:09:33,55.03,15.24,1.84
253,2024-12-04 17:09:33,55.25,15.24,1.84
254,2024-12-04 17:09:34,55.45,15.24,1.84
255,2024-12-04 17:09:34,55.66,15.24,1.84
256,2024-12-04 17:09:34,55.87,15.24,1.84
257,2024-12-04 17:09:34,56.08,15.24,1.84
258,2024-12-04 17:09:34,56.30,15.24,1.84
259,2024-12-04 17:09:35,56.52,15.24,1.84
260,2024-12-04 17:09:35,56.72,15.24,1.84
261,2024-12-04 17:09:35,56.93,15.24,1.84
262,2024-12-04 17:09:35,57.15,15.24,1.84
263,2024-12-04 17:09:35,57.37,15.24,1.84
264,2024-12-04 17:09:36,57.58,15.24,1.84
265,2024-12-04 17:09:36,57.79,15.24,1.84
266,2024-12-04 17:09:36,58.00,15.24,1.84
267,2024-12-04 17:09:36,58.22,15.24,1.84
268,2024-12-04 17:09:37,58.44,15.24,1.84
269,2024-12-04 17:09:37,58.64,15.24,1.84
270,2024-12-04 17:09:37,58.86,15.24,1.84
271,2024-12-04 17:09:37,59.07,15.24,1.84
272,2024-12-04 17:09:37,59.29,15.24,1.84
273,2024-12-04 17:09:38,59.50,15.24,1.84
274,2024-12-04 17:09:38,59.72,15.24,1.84
275,2024-12-04 17:09:38,59.94,15.24,1.84
276,2024-12-04 17:09:38,60.15,15.24,1.84
277,2024-12-04 17:09:38,60.37,15.24,1.84
278,2024-12-04 17:09:39,60.58,15.24,1.84
279,2024-12-04 17:09:39,60.81,15.24,1.84
280,2024-12-04 17:09:39,61.02,15.24,1.84
281,2024-12-04 17:09:39,61.24,15.24,1.84
282,2024-12-04 17:09:40,61.46,15.24,1.84
283,2024-12-04 17:09:40,61.67,15.24,1.84
284,2024-12-04 17:09:40,61.90,15.24,1.84
285,2024-12-04 17:09:40,62.11,15.24,1.84
286,2024-12-04 17:09:40,62.34,15.24,1.84
287,2024-12-04 17:09:41,62.56,15.24,1.84
288,2024-12-04 17:09:41,62.78,15.24,1.84
289,2024-12-04 17:09:41,62.99,15.24,1.84
290,2024-12-04 17:09:41,63.21,15.24,1.84
291,2024-12-04 17:09:42,63.41,15.24,1.84
292,2024-12-04 17:09:42,63.63,15.24,1.84
293,2024-12-04 17:09:42,63.85,15.24,1.84
294,2024-12-04 17:09:42,64.06,15.24,1.84
295,2024-12-04 17:09:42,64.27,15.24,1.84
296,2024-12-04 17:09:43,64.49,15.24,1.84
297,2024-12-04 17:09:43,64.71,15.24,1.84
298,2024-12-04 17:09:43,64.91,15.24,1.84
299,2024-12-04 17:09:43,65.13,15.24,1.84
300,2024-12-04 17:09:43,65.35,15.24,1.84
301,2024-12-04 17:09:44,65.55,15.24,1.84
302,2024-12-04 17:09:44,65.78,15.24,1.84
303,2024-12-04 17:09:44,65.99,15.24,1.84
304,2024-12-04 17:09:44,66.21,15.24,1.84
305,2024-12-04 17:09:45,66.41,15.24,1.84
306,2024-12-04 17:09:45,66.62,15.24,1.84
307,2024-12-04 17:09:45,66.85,15.24,1.84
308,2024-12-04 17:09:45,67.05,15.24,1.84
309,2024-12-04 17:09:45,67.26,15.24,1.84
310,2024-12-04 17:09:46,67.47,15.24,1.84
311,2024-12-04 17:09:46,67.69,15.24,1.84
312,2024-12-04 17:09:46,67.90,15.24,1.84
313,2024-12-04 17:09:46,68.11,15.24,1.84
314,2024-12-04 17:09:46,68.33,15.24,1.84
315,2024-12-04 17:09:47,68.56,15.24,1.84
316,2024-12-04 17:09:47,68.77,15.24,1.84
317,2024-12-04 17:09:47,68.98,15.24,1.84
318,2024-12-04 17:09:47,69.19,15.24,1.84
319,2024-12-04 17:09:48,69.40,15.24,1.84
320,2024-12-04 17:09:48,69.60,15.24,1.84
321,2024-12-04 17:09:48,69.81,15.24,1.84
322,2024-12-04 17:09:48,70.03,15.24,1.84
323,2024-12-04 17:09:48,70.23,15.24,1.84
324,2024-12-04 17:09:49,70.45,15.24,1.84
325,2024-12-04 17:09:49,70.66,15.24,1.84
326,2024-12-04 17:09:49,70.87,15.24,1.84
327,2024-12-04 17:09:49,71.08,15.24,1.84
328,2024-12-04 17:09:49,71.30,15.24,1.84
329,2024-12-04 17:09:50,71.51,15.24,1.84
330,2024-12-04 17:09:50,71.73,15.24,1.84
331,2024-12-04 17:09:50,71.95,15.24,1.84
332,2024-12-04 17:09:50,72.17,15.24,1.84
333,2024-12-04 17:09:50,72.37,15.24,1.84
334,2024-12-04 17:09:51,72.59,15.24,1.84
335,2024-12-04 17:09:51,72.82,15.24,1.84
336,2024-12-04 17:09:51,73.01,15.24,1.84
337,2024-12-04 17:09:51,73.22,15.24,1.84
338,2024-12-04 17:09:52,73.43,15.24,1.84
339,2024-12-04 17:09:52,73.64,15.24,1.84
340,2024-12-04 17:09:52,73.86,15.24,1.84
341,2024-12-04 17:09:52,74.08,15.24,1.84
342,2024-12-04 17:09:52,74.29,15.24,1.84
343,2024-12-04 17:09:53,74.50,15.24,1.84
344,2024-12-04 17:09:53,74.71,15.24,1.84
345,2024-12-04 17:09:53,74.93,15.24,1.84
346,2024-12-04 17:09:53,75.14,15.24,1.84
347,2024-12-04 17:09:53,75.36,15.24,1.84
