Step,Timestamp,Time (s),RAM Usage (GB),GPU Memory Usage (GB)
186,2024-12-04 04:03:45,180.01,17.49,5.09
187,2024-12-04 04:03:46,180.98,17.49,5.09
188,2024-12-04 04:03:47,181.94,17.49,5.09
189,2024-12-04 04:03:48,182.90,17.49,5.09
190,2024-12-04 04:03:49,183.86,17.49,5.09
191,2024-12-04 04:03:50,184.81,17.49,5.09
192,2024-12-04 04:03:51,185.78,17.49,5.09
193,2024-12-04 04:03:52,186.74,17.49,5.09
194,2024-12-04 04:03:53,187.70,17.49,5.09
195,2024-12-04 04:03:53,188.67,17.49,5.09
196,2024-12-04 04:03:54,189.64,17.49,5.09
197,2024-12-04 04:03:55,190.59,17.49,5.09
198,2024-12-04 04:03:56,191.55,17.49,5.09
199,2024-12-04 04:03:57,192.51,17.49,5.09
200,2024-12-04 04:03:58,193.48,17.49,5.09
201,2024-12-04 04:03:59,194.44,17.49,5.09
202,2024-12-04 04:04:00,195.40,17.49,5.09
203,2024-12-04 04:04:01,196.37,17.49,5.09
204,2024-12-04 04:04:02,197.34,17.49,5.09
205,2024-12-04 04:04:03,198.30,17.49,5.09
206,2024-12-04 04:04:04,199.27,17.49,5.09
207,2024-12-04 04:04:05,200.24,17.49,5.09
208,2024-12-04 04:04:06,201.21,17.49,5.09
209,2024-12-04 04:04:07,202.19,17.49,5.09
210,2024-12-04 04:04:08,203.15,17.49,5.09
211,2024-12-04 04:04:09,204.11,17.49,5.09
212,2024-12-04 04:04:10,205.07,17.49,5.09
213,2024-12-04 04:04:11,206.04,17.49,5.09
214,2024-12-04 04:04:12,207.00,17.49,5.09
215,2024-12-04 04:04:13,207.96,17.49,5.09
216,2024-12-04 04:04:14,208.92,17.49,5.09
217,2024-12-04 04:04:15,209.88,17.49,5.09
218,2024-12-04 04:04:16,210.84,17.49,5.09
219,2024-12-04 04:04:17,211.81,17.49,5.09
220,2024-12-04 04:04:18,212.77,17.49,5.09
221,2024-12-04 04:04:19,213.73,17.49,5.09
222,2024-12-04 04:04:20,214.69,17.49,5.09
223,2024-12-04 04:04:20,215.66,17.49,5.09
224,2024-12-04 04:04:21,216.62,17.49,5.09
225,2024-12-04 04:04:22,217.59,17.49,5.09
226,2024-12-04 04:04:23,218.55,17.49,5.09
227,2024-12-04 04:04:24,219.51,17.49,5.09
228,2024-12-04 04:04:25,220.48,17.49,5.09
229,2024-12-04 04:04:26,221.45,17.49,5.09
230,2024-12-04 04:04:27,222.41,17.49,5.09
231,2024-12-04 04:04:28,223.38,17.49,5.09
232,2024-12-04 04:04:29,224.34,17.49,5.09
233,2024-12-04 04:04:30,225.30,17.49,5.09
234,2024-12-04 04:04:31,226.26,17.49,5.09
235,2024-12-04 04:04:32,227.22,17.49,5.09
236,2024-12-04 04:04:33,228.18,17.49,5.09
237,2024-12-04 04:04:34,229.15,17.49,5.09
238,2024-12-04 04:04:35,230.12,17.49,5.09
239,2024-12-04 04:04:36,231.07,17.49,5.09
240,2024-12-04 04:04:37,232.04,17.49,5.09
241,2024-12-04 04:04:38,233.00,17.49,5.09
242,2024-12-04 04:04:39,233.96,17.49,5.09
243,2024-12-04 04:04:40,234.93,17.49,5.09
244,2024-12-04 04:04:41,235.89,17.49,5.09
245,2024-12-04 04:04:42,236.86,17.49,5.09
246,2024-12-04 04:04:43,237.82,17.49,5.09
247,2024-12-04 04:04:44,238.78,17.49,5.09
248,2024-12-04 04:04:45,239.75,17.49,5.09
249,2024-12-04 04:04:46,240.71,17.49,5.09
250,2024-12-04 04:04:46,241.68,17.49,5.09
251,2024-12-04 04:04:47,242.64,17.49,5.09
252,2024-12-04 04:04:48,243.59,17.49,5.09
253,2024-12-04 04:04:49,244.55,17.49,5.09
254,2024-12-04 04:04:50,245.51,17.49,5.09
255,2024-12-04 04:04:51,246.47,17.49,5.09
256,2024-12-04 04:04:52,247.43,17.49,5.09
257,2024-12-04 04:04:53,248.40,17.49,5.09
258,2024-12-04 04:04:54,249.36,17.49,5.09
259,2024-12-04 04:04:55,250.32,17.49,5.09
260,2024-12-04 04:04:56,251.28,17.49,5.09
261,2024-12-04 04:04:57,252.24,17.49,5.09
262,2024-12-04 04:04:58,253.20,17.49,5.09
263,2024-12-04 04:04:59,254.16,17.49,5.09
264,2024-12-04 04:05:00,255.12,17.49,5.09
265,2024-12-04 04:05:01,256.09,17.49,5.09
266,2024-12-04 04:05:02,257.05,17.49,5.09
267,2024-12-04 04:05:03,258.03,17.49,5.09
268,2024-12-04 04:05:04,258.98,17.49,5.09
269,2024-12-04 04:05:05,259.94,17.49,5.09
270,2024-12-04 04:05:06,260.91,17.49,5.09
271,2024-12-04 04:05:07,261.87,17.49,5.09
272,2024-12-04 04:05:08,262.83,17.49,5.09
273,2024-12-04 04:05:09,263.80,17.49,5.09
274,2024-12-04 04:05:10,264.76,17.49,5.09
275,2024-12-04 04:05:11,265.71,17.49,5.09
276,2024-12-04 04:05:11,266.67,17.49,5.09
277,2024-12-04 04:05:12,267.64,17.49,5.09
278,2024-12-04 04:05:13,268.60,17.49,5.09
